Time,Bicep,Wrist
00:00.4,0.00793294,-0.015855247
00:00.4,0.015080111,-0.010516241
00:00.4,0.014210551,-0.000990022
00:00.4,0.012834013,0.019256821
00:00.4,0.006643325,0.021684047
00:00.4,0.006922699,0.021696361
00:00.4,0.00656247,0.024420841
00:00.5,0.005747914,0.014803177
00:00.5,0.00463725,0.007213452
00:00.5,-0.001108019,0.014805675
00:00.5,-0.000236742,0.012851281
00:00.5,-0.004363248,-0.003943967
00:00.5,-0.002192677,-0.005976239
00:00.5,-0.000827912,-0.012220731
00:00.5,0.004391566,-0.020382602
00:00.5,0.002484039,-0.019823371
00:00.5,0.005284755,-0.018224055
00:00.5,-0.002795476,-0.015897961
00:00.5,0.00109682,-0.013114926
00:00.5,-0.001498535,-0.010102865
00:00.5,0.001114774,-0.00704977
00:00.5,0.002166816,-0.004106103
00:00.5,-0.002352437,0.007554469
00:00.5,-0.000922424,0.010033468
00:00.5,-0.000469077,0.015533317
00:00.5,-0.005139379,0.013265338
00:00.5,-0.003531485,0.015233492
00:00.5,-0.011614782,0.010465331
00:00.5,-0.01133592,0.010795657
00:00.5,-0.014763879,0.005097427
00:00.5,-0.015465796,0.000594346
00:00.5,-0.018674286,-0.007294571
00:00.5,0.02635086,-0.056724902
00:00.5,0.150166288,-0.193433627
00:00.5,-0.008409808,-0.136080131
00:00.5,-0.10621202,-0.030314825
00:00.5,-0.138969958,0.033778943
00:00.5,-0.136130318,0.089004219
00:00.5,-0.141093358,0.141968563
00:00.5,-0.094508648,0.178203568
00:00.5,-0.014409062,0.180780172
00:00.5,0.057377603,0.155556202
00:00.5,0.108490467,0.113219529
00:00.5,0.145872325,0.06224655
00:00.5,0.16094628,0.009170849
00:00.5,0.154577613,-0.041161396
00:00.5,0.142542213,-0.080879159
00:00.5,0.117103562,-0.092118941
00:00.5,0.09282326,-0.088626929
00:00.5,0.06529367,-0.115830414
00:00.5,0.036871005,-0.122262828
00:00.5,0.004929199,-0.113913439
00:00.5,-0.026947096,-0.100217938
00:00.5,-0.04719824,-0.083016917
00:00.5,-0.058436483,-0.063883238
00:00.5,-0.062856235,-0.039659198
00:00.5,-0.066755496,-0.022553209
00:00.5,-0.073909149,-0.001698123
00:00.5,-0.081696086,0.015529064
00:00.5,-0.07933642,0.029182175
00:00.5,-0.083457328,0.043879144
00:00.5,-0.07667166,0.044230536
00:00.5,-0.067228504,0.044423085
00:00.5,-0.051512312,0.044143561
00:00.5,-0.036965441,0.043202244
00:00.5,-0.02370595,0.041511085
00:00.5,-0.016308475,0.039063234
00:00.5,-0.008180913,0.031443141
00:00.5,-0.00440139,0.025423219
00:00.5,0.001214541,0.033989631
00:00.5,0.007735241,0.027861679
00:00.5,0.014420252,0.012875284
00:00.5,0.020702932,0.006973465
00:00.5,0.026172033,0.006958489
00:00.5,0.030552723,0.005876611
00:00.5,0.03815848,-0.004885809
00:00.5,0.03778746,-0.011699896
00:00.5,0.027748145,-0.015439107
00:00.5,0.025852691,-0.021317985
00:00.5,0.015423959,-0.01882028
00:00.5,0.018454244,-0.002283749
00:00.5,0.082884356,-0.036774829
00:00.5,0.048303053,-0.045226224
00:00.5,-0.022010038,0.008309338
00:00.5,-0.031667978,0.023325091
00:00.5,-0.016483732,0.013205396
00:00.5,-0.00070999,0.024242202
00:00.5,0.000592516,0.046882842
00:00.5,0.010795802,0.04262919
00:00.5,0.016410075,0.039562196
00:00.5,0.018461348,0.02789435
00:00.5,0.017848294,0.020420661
00:00.5,0.015346607,0.002300026
00:00.5,0.016085593,-0.020938817
00:00.5,0.089948386,-0.094327994
00:00.5,0.115575768,-0.190685555
00:00.5,-0.026460247,-0.133463651
00:00.5,-0.132997245,-0.025858773
00:00.5,-0.112956032,0.014109734
00:00.5,-0.118857525,0.040595222
00:00.5,-0.129543751,0.083009005
00:00.5,-0.086695135,0.081257828
00:00.5,-0.040407803,0.100884952
00:00.5,0.009172007,0.112587966
00:00.5,0.047605354,0.076564357
