Time,Finger_Flexor,Force
00:00.1,-0.022456815,3.189083338
00:00.1,-0.015458397,3.189083338
00:00.1,-0.012019305,3.189083338
00:00.1,-0.006548462,3.189083338
00:00.1,-0.013760608,3.189083338
00:00.1,-0.010108256,3.189083338
00:00.1,-0.013515048,3.189083338
00:00.1,-0.020825921,3.189083338
00:00.1,-0.025181945,3.189083338
00:00.1,-0.022577455,3.189083338
00:00.1,-0.020138837,3.189083338
00:00.1,-0.017742338,3.189083338
00:00.1,-0.019792629,3.189083338
00:00.1,-0.024066357,3.189083338
00:00.1,-0.024458561,3.189083338
00:00.1,-0.017557789,3.189083338
00:00.1,-0.015413805,3.189083338
00:00.1,-0.00708826,3.189083338
00:00.1,3.47E-05,3.189083338
00:00.1,0.01487558,3.189083338
00:00.1,0.024105329,3.189083338
00:00.1,0.046769105,3.189083338
00:00.1,0.061665777,3.189083338
00:00.1,0.069703065,3.189083338
00:00.1,0.049517762,3.189083338
00:00.1,0.017612381,3.189083338
00:00.1,-0.010033418,3.189083338
00:00.1,-0.032620583,2.974949121
00:00.1,-0.040847547,2.974949121
00:00.1,-0.04805075,2.974949121
00:00.1,-0.044439387,2.974949121
00:00.1,-0.042883743,2.974949121
00:00.1,-0.037622761,2.974949121
00:00.1,-0.025498491,2.974949121
00:00.1,-0.005323116,2.974949121
00:00.1,0.00477542,2.974949121
00:00.1,0.007904772,2.974949121
00:00.1,0.006534248,2.974949121
00:00.1,0.015995795,2.974949121
00:00.1,0.031136449,3.189083338
00:00.1,0.030196039,3.189083338
00:00.1,0.028127672,3.189083338
00:00.1,0.020746412,3.189083338
00:00.1,0.0149856,2.974949121
00:00.1,0.001579856,2.974949121
00:00.1,-0.001922531,2.974949121
00:00.1,-0.007996989,2.974949121
00:00.1,-0.015003647,3.189083338
00:00.1,-0.017282711,3.189083338
00:00.1,-0.011752786,3.189083338
00:00.1,-0.001757261,3.189083338
00:00.1,0.005668192,2.974949121
00:00.1,0.010826985,2.974949121
00:00.1,0.005087114,2.974949121
00:00.1,0.006571375,2.974949121
00:00.1,0.016734174,3.189083338
00:00.1,0.022131668,3.189083338
00:00.1,0.01488864,3.189083338
00:00.1,0.004812281,3.189083338
00:00.1,-0.006204601,3.189083338
00:00.1,-0.007833487,3.189083338
00:00.1,-0.012458944,3.189083338
00:00.1,-0.013890935,3.189083338
00:00.1,-0.0086021,3.189083338
00:00.1,-0.01297987,3.189083338
00:00.2,-0.004803362,3.189083338
00:00.2,0.005922373,3.189083338
00:00.2,0.021660995,2.974949121
00:00.2,0.029834636,2.974949121
00:00.2,0.032244626,2.974949121
00:00.2,0.030440405,2.974949121
00:00.2,0.021264499,2.974949121
00:00.2,0.02142518,2.974949121
00:00.2,0.017914383,2.974949121
00:00.2,0.007614887,2.974949121
00:00.2,-0.010648391,3.189083338
00:00.2,-0.023227058,3.189083338
00:00.2,-0.031051809,3.189083338
00:00.2,-0.039453611,3.189083338
00:00.2,-0.047017939,2.974949121
00:00.2,-0.048340909,2.974949121
00:00.2,-0.045084272,2.974949121
00:00.2,-0.034195602,2.974949121
00:00.2,-0.019066421,2.974949121
00:00.2,-0.002319177,2.974949121
00:00.2,0.009618062,2.974949121
00:00.2,0.008615186,2.974949121
00:00.2,0.013218862,2.974949121
00:00.2,0.020768587,2.974949121
00:00.2,0.024789594,2.974949121
00:00.2,0.021566495,2.974949121
00:00.2,0.005023993,2.974949121
00:00.2,-0.013742544,2.974949121
00:00.2,-0.023036247,2.974949121
00:00.2,-0.016416453,2.974949121
00:00.2,-0.009318858,2.974949121
00:00.2,-0.002349497,2.974949121
00:00.2,-0.000424839,2.974949121
00:00.2,0.002820004,2.974949121
00:00.2,0.015580258,2.974949121
00:00.2,0.028421057,2.974949121
00:00.2,0.039853226,2.974949121
00:00.2,0.048906773,2.974949121
00:00.2,0.05503637,2.974949121
00:00.2,0.058035783,2.974949121
00:00.2,0.049019165,2.974949121
00:00.2,0.041580804,2.974949121
00:00.2,0.017107671,2.974949121
00:00.2,-0.002655583,2.974949121
00:00.2,-0.022480518,2.974949121
00:00.2,-0.022643579,2.974949121
00:00.2,-0.024124255,2.974949121
00:00.2,-0.012744898,2.974949121
00:00.2,-0.021365577,2.974949121
00:00.2,-0.032369658,2.974949121
00:00.2,-0.034616411,2.974949121
00:00.2,-0.035432763,2.974949121
00:00.2,-0.03043144,2.974949121
00:00.2,-0.026427018,2.974949121
00:00.2,-0.018574195,2.974949121
00:00.2,-0.01328107,2.974949121
00:00.2,-0.014286811,2.974949121
00:00.2,0.003539234,2.974949121
00:00.2,0.008923206,2.974949121
00:00.2,-0.002786687,2.974949121
